Title,Company,Location,Summary Salary,Summary Type,Job URL
Summer 2025 Software Engineering Intern,Amidon Heavy Industries,"El Segundo, CA",,,https://www.indeed.com/rc/clk?jk=cdb5402094ab5eed&bb=-9ZrQBXbDC-bxAiKl6wE6uH4D4eNf8zJSJ9HB8vxA0jqqhbjsIcwTzqNROi1StD3e5oo07HLPlpkNPMqQrf4mQXC6aOgOfS34rlKx4AvWyMIwMdf8b6RyirQH6sPx3Vd&xkcb=SoDG67M32KKgWHAVcj0LbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3
Software Engineer - Intern (Summer 2025),Kognitos,"San Jose, CA",,,https://www.indeed.com/rc/clk?jk=77f4a69318d1488a&bb=-9ZrQBXbDC-bxAiKl6wE6lJaLD2uyeR1YWkmIrRM-4dDqPDYDDOYEnqVKvWSSTel8BpFDzKrP9BJXH2X6PoBqPyf9GEfAma4djTdPC-B0krJ3_xJfbQla6AOJMPGkhDa&xkcb=SoBy67M32KKgWHAVcj0KbzkdCdPP&fccid=f8c39f07feebe587&vjs=3
Engineering Software Systems Intern,Kaman Corporation,"Lake Forest, CA 92610",$22 - $25 an hour,Internship,https://www.indeed.com/rc/clk?jk=1eecf4c63d8f6d36&bb=-9ZrQBXbDC-bxAiKl6wE6rxgybB99jhGal0tajyE1QKyEqM9FVRpka1x4BQVydnwrvamTIQHN10GYX6vgV-y3fw2xjLimq_7EV3kn31OwDRI4juqfNpqLmXLFcrjXsv9&xkcb=SoDv67M32KKgWHAVcj0JbzkdCdPP&fccid=4cc5e004e3ef2c4b&vjs=3
Software Engineer Intern - Summer 2025,HELLBENDER Inc.,"Pittsburgh, PA 15238",,"Full-time
+1",https://www.indeed.com/rc/clk?jk=2b2d3d004dc3a9d3&bb=-9ZrQBXbDC-bxAiKl6wE6j68cCVDVdrwT-my1C4OeSQ5c1fksI9nfBoLEm2Q-DeCwtrq9h0YrsT3fkZf2ngJjRAN6AKpKV93IuGIFlbrlz0vouHsTi-S6TKe-3NA1mUF&xkcb=SoBb67M32KKgWHAVcj0IbzkdCdPP&fccid=2c38ac12193efd54&cmp=HELLBENDER-Inc.&ti=Software+Engineer+Intern&vjs=3
GenAI Software Engineer Intern,AI Republic,Remote,,,https://www.indeed.com/rc/clk?jk=1c568594f01397fb&bb=-9ZrQBXbDC-bxAiKl6wE6mIVgioBEvtTCw6q57WXUPVDpMcVmg5wU3CJt56JjPfVWi9LQK2Nb8JvQzGqjGlusKoHdkgoXRtJ9DE09RDj3pbf9dNrs7hbzoEHl6WFwvMvMrmt3yxMQFo%3D&xkcb=SoDV67M32KKgWHAVcj0PbzkdCdPP&fccid=072e624c538ea189&cmp=AI-Republic&ti=Software+Engineer+Intern&vjs=3
IT Software Engineering Intern (2025 Start),Databricks,"Mountain View, CA",$44 - $48 an hour,Internship,https://www.indeed.com/rc/clk?jk=22bb8e3792aee989&bb=-9ZrQBXbDC-bxAiKl6wE6qtnpi3H3blCG_AddGPhIjSdI7Kc0owOeWKI46wH1nNojipKwCqY5EKVuP5C-T0Fa2j2MIvD6nLIIaIPA1WCIgG0giI4Joh-KDpluY9zjXie&xkcb=SoBh67M32KKgWHAVcj0ObzkdCdPP&fccid=3d0f7ba22a49432f&vjs=3
Software Development Intern - Summer 2025,Bandwidth,"Raleigh, NC",,"Full-time
+2",https://www.indeed.com/rc/clk?jk=6513138a888c6a5a&bb=-9ZrQBXbDC-bxAiKl6wE6plyqSN0wi3CYWlmCIAhtBP2lEvCOZHtRUihuNMXCKAF0ln57g0p1HGR99jP5CLD6dOaI-zL2enfAE9bqaPW6s-a4kKddnOIN7VYL758qELg&xkcb=SoD867M32KKgWHAVcj0NbzkdCdPP&fccid=7ca9301eaf66757f&vjs=3
Software Engineer - Intern (Summer),Snackpass Part Time Openings,"Remote in San Francisco Bay Area, CA",$45 an hour,"Internship
+1",https://www.indeed.com/rc/clk?jk=4e50de156ac19ebd&bb=-9ZrQBXbDC-bxAiKl6wE6paX0wRDa01bIGn8zS4zJI7GglXWCIxjzuxG1N-fPMdp4kg7eTcOqmQWmKp8U_-t1mO_nDaNtxJ1jiFo70hpCGHnJ6ats84m7Ib9nRMKwShx&xkcb=SoBI67M32KKgWHAVcj0MbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3
Software Quality Engineer Intern - Summer 2025,ServiceNow,"Santa Clara, CA 95054",,,https://www.indeed.com/rc/clk?jk=c06a4b1a9fe84e20&bb=-9ZrQBXbDC-bxAiKl6wE6g84I5vn98G4qxb11u6pvd_AJ1Bt6E_PS5Md0LyHvPDqv6Gfj3FDAdQ3isreQK-Pi7X6fjPeeauRjHmYRXt5xD_dyV7R1Jpij8xcr3HMxy-4&xkcb=SoCh67M32KKgWHAVcj0DbzkdCdPP&fccid=7442885bc0fa7c14&vjs=3
Software Engineer Intern (Summer 2025),northwoodspace,"Los Angeles, CA",,,https://www.indeed.com/rc/clk?jk=28ac2f1f74fd5e95&bb=-9ZrQBXbDC-bxAiKl6wE6iWukDXF48I8FiuOsNKXW0HSKUYhMvEpCoRT0Wn7g6tkH0N5kW28O3ifoqcxDZMy8Xaijg77eMO-xVy8QfPcz2yfRqlgGfpEQ7dpWH-fEDIF&xkcb=SoAV67M32KKgWHAVcj0CbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3
Software Engineering Intern,Fundusol,Remote,,,https://www.indeed.com/rc/clk?jk=66e447a91f290837&bb=-9ZrQBXbDC-bxAiKl6wE6jQqIV_LE7kjI6hCMdSZtwM6_qK7wUDT0ZjEgFrYA8J9hygkYOQd_2e3XG38HalfjENtznPzyMlsVOt7KYGLBEeIpXxiSs0gjZhB-oJBi_K8&xkcb=SoCI67M32KKgWHAVcj0BbzkdCdPP&fccid=d66624ea058f5a48&cmp=Fundusol&ti=Software+Engineer+Intern&vjs=3
Software Engineering Intern (Summer 2025),Sedaro,"Arlington, VA 22203",,,https://www.indeed.com/rc/clk?jk=766df07dcc9756f0&bb=-9ZrQBXbDC-bxAiKl6wE6uH4D4eNf8zJIFZ-9Ky3fLUDWawsXqeDQngBeo3EdQcgshU5zhRjiiD5iHeMO6tjC8POA8L4SBTWWohBbJjQNzxPtjHQs9RjnjDrKSF_kQpM&xkcb=SoA867M32KKgWHAVcj0AbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3
"Frontend Software Engineer Intern (US, Remote)",GreatFrontEnd,Remote,"$1,500 - $2,500 a month",Internship,https://www.indeed.com/rc/clk?jk=d257323ee45cf3bc&bb=-9ZrQBXbDC-bxAiKl6wE6plyqSN0wi3CcX2hp8HrlMqASO2MXLkbK4zzf3084J8u5NWb9DHitE5olfIQFyWzlVLqt1KisyMJPlrbF7p_NXCJK9Hup3aBznlI1iaIk2E6&xkcb=SoCy67M32KKgWHAVcj0HbzkdCdPP&fccid=90f2963c670c2194&cmp=GreatFrontEnd&ti=Front+End+Developer&vjs=3
2025 Summer Intern - Software Engineer,WeRide.ai,"San Jose, CA 95134",,,https://www.indeed.com/rc/clk?jk=414ede9c011b9b89&bb=-9ZrQBXbDC-bxAiKl6wE6kq5K1TzBMNtZLa7hX9UgkHzncY0epALQTxncUXIjLlBdAEAKzRLXeGab9MbfA3vj38VUtWrKlbjaCLFXK5fSlEwhdUYcNaaaP8wyJ24chqb&xkcb=SoAG67M32KKgWHAVcj0GbzkdCdPP&fccid=a7081d2f52016a53&vjs=3
Software Engineering Intern - Cybersecurity,Rivian,"Palo Alto, CA 94304",$25 - $51 an hour,Full-time,https://www.indeed.com/rc/clk?jk=efc4275108c4d6b1&bb=-9ZrQBXbDC-bxAiKl6wE6g4B_Oh0-w5dqt-vbsdJrZLmhNdXThdttMrtTf5r44JfI03uQj4FAPsI-eKYvKqna1SNF7JTn1krFLU2Ru9rfZiD_aoBp1d8z4kq-PIepAGz&xkcb=SoCb67M32KKgWHAVcj0FbzkdCdPP&fccid=ab392afaee93f976&vjs=3
